縣市名稱,鄉鎮市區,學生等級,學校代碼,學校名稱,公/私立,地區屬性,地址,電話,網址,班級數,男教師數,女教師數,男學生數,女學生數,原住民學生比率,上學年男畢業生數,上學年女畢業生數
[01]新北市,八里區,國中,14527,市立八里國中,公立,偏遠,[249]新北市八里區荖阡坑路15號,(02)26102016,http://www.pljhs.ntpc.edu.tw,18,12,37,199,186,12.47,79,85
[01]新北市,石門區,國中,14537,市立石門國中,公立,偏遠,[253]新北市石門區中央路1之9號,(02)26381273,http://www.smjh.ntpc.edu.tw,6,2,14,45,55,0,18,18
[01]新北市,萬里區,國中,14539,市立萬里國中,公立,偏遠,[207]新北市萬里區萬里里29鄰瑪鋉路18號,(02)24922053,http://www.wljhs.ntpc.edu.tw,9,9,14,79,80,3.14,24,30
[01]新北市,坪林區,國中,14540,市立坪林國中,公立,特偏,[232]新北市坪林區國中路4號,(02)26656210,http://www.pljh.ntpc.edu.tw,7,8,14,61,48,0,27,18
[01]新北市,瑞芳區,國中,14544,市立瑞芳國中,公立,偏遠,[224]新北市瑞芳區三爪子坑路1號,(02)24972145,http://www.rfjh.ntpc.edu.tw,20,22,30,238,240,6.49,86,79
[01]新北市,瑞芳區,國中,14545,市立欽賢國中,公立,偏遠,[224]新北市瑞芳區崙頂路3之1號,(02)24972261,http://www.cejh.ntpc.edu.tw,6,7,10,51,29,12.5,15,30
[01]新北市,貢寮區,國中,14546,市立貢寮國中,公立,偏遠,[228]新北市貢寮區嵩陽街42號,(02)24941941,http://www.kljh.ntpc.edu.tw,6,8,10,65,54,3.36,18,29
[01]新北市,平溪區,國中,14550,市立平溪國中,公立,偏遠,[226]新北市平溪區石底街92號,(02)24951010,http://www.phjh.ntpc.edu.tw,7,7,17,26,32,13.79,8,6
[01]新北市,烏來區,國中,14551,市立烏來國中(小),公立,特偏,[233]新北市烏來區啦卡路5號,(02)26616482,http://www.wups.ntpc.edu.tw/default_page.asp,3,3,10,18,27,82.22,13,8
[01]新北市,貢寮區,國中,14578,市立豐珠國中(小),公立,偏遠,[228]新北市貢寮區美豐里雞母嶺街6之6號,(02)24903727,http://www.fjjh.ntpc.edu.tw,0,4,11,0,0,0,0,0
[06]臺中市,大安區,國中,64512,市立大安國中,公立,偏遠,[439]臺中市大安區松雅里大安港路691號,(04)26872571,http://www.tajh.tc.edu.tw,10,10,15,77,104,1.1,31,36
[06]臺中市,烏日區,國中,64521,市立溪南國中,公立,偏遠,[414]臺中市烏日區溪南路一段731號,(04)23353959,http://www.snjh.tc.edu.tw,13,12,17,118,121,4.6,42,60
[06]臺中市,石岡區,國中,64527,市立石岡國中,公立,偏遠,[422]臺中市石岡區梅子里豐勢路國中巷1號,(04)25814191,http://www.sgjhs.tc.edu.tw/xoops/index.php,16,15,24,167,149,1.58,63,55
[06]臺中市,東勢區,國中,64530,市立東華國中,公立,偏遠,[423]臺中市東勢區東關路五段500號,(04)25853219,http://www.thjh.tc.edu.tw,9,9,15,58,58,4.31,12,17
[06]臺中市,東勢區,國中,64531,市立東新國中,公立,偏遠,[423]臺中市東勢區東新里5鄰東環街123號,(04)25872684,http://www.tsihs.tc.edu.tw,11,10,18,87,82,6.51,28,38
[06]臺中市,和平區,國中,64533,市立和平國中,公立,極偏,[424]臺中市和平區東關路三段崑崙巷62號,(04)25941512,http://www.hpjh.tc.edu.tw,6,6,9,16,27,55.81,11,19
[06]臺中市,和平區,國中,64552,市立梨山國中(小),公立,極偏,[424]臺中市和平區梨山里福壽路10號,(04)25981510,http://www.lses.tc.edu.tw,6,7,8,30,49,55.7,10,11
[11]臺南市,仁德區,國中,114502,市立仁德文賢國中,公立,偏遠,[717]臺南市仁德區保安里中正路一段185號,(06)2662392,http://163.26.153.1/xoops2/,8,7,14,104,91,1.54,39,40
[11]臺南市,龍崎區,國中,114508,市立龍崎國中,公立,偏遠,[719]臺南市龍崎區新市子258號,(06)5941475,http://www.lcjh.tn.edu.tw/,3,5,5,21,11,0,9,10
[11]臺南市,山上區,國中,114512,市立山上國中,公立,偏遠,[743]臺南市山上區山上里130號,(06)7021578,http://www.ssjh.tn.edu.tw/,4,6,5,50,37,0,12,12
