ID,縣市,鄉鎮市區,村里,門牌,二級發布區,一級發布區,最小統計區,比對代碼,X坐標,Y坐標,坐標系統 
1,新北市,萬里區,萬里里,獅頭路24號,A6528-08,A6528-08-008,A6528-0149-00,CL0-F2-0-2018M12,121.6944144,25.17779118,EPSG:4326
2,臺南市,,,北門區永華里1之1號,,,,門牌比對失敗或格式有誤,,,
3,新竹縣,峨眉鄉,石井村,54號,A0411-01,A0411-01-002,A0411-0010-00,AL0-F2-0-2018M12,120.998519,24.70978367,EPSG:4326
4,屏東縣,,,泰武鄉佳平路120號,,,,門牌比對失敗或格式有誤,,,
5,臺東縣,關山鎮,里?里,崁頂路22號,A1403-03,A1403-03-011,A1403-0113-00,CL0-N3-1-2018M12,121.1556673,23.04704053,EPSG:4326
6,新北市,,,萬里區雙興里大坪路1號,,,,門牌比對失敗或格式有誤,,,
7,新北市,,,萬里區崁腳里崁腳路59號,,,,門牌比對失敗或格式有誤,,,
8,新北市,,,瑞芳區四腳亭埔路23號,,,,門牌比對失敗或格式有誤,,,
9,臺南市,,,麻豆區安東里113號,,,,門牌比對失敗或格式有誤,,,
10,臺南市,,,麻豆區謝安里231號,,,,門牌比對失敗或格式有誤,,,
11,臺南市,佳里區,頂?里,頂?136號,A6712-04,A6712-04-008,A6712-0104-00,AL0-F1-0-2018M12,120.1525229,23.17878641,EPSG:4326
12,臺南市,,,西港區檨林里39之1號,,,,門牌比對失敗或格式有誤,,,
13,臺南市,,,將軍區將貴里58號,,,,門牌比對失敗或格式有誤,,,
14,臺南市,,,將軍區苓和里132號,,,,門牌比對失敗或格式有誤,,,
15,臺南市,,,北門區鯤江里791號,,,,門牌比對失敗或格式有誤,,,
16,臺南市,,,官田區拔林里77之1號,,,,門牌比對失敗或格式有誤,,,
17,臺南市,,,新營區鐵線里1號,,,,門牌比對失敗或格式有誤,,,
18,臺南市,,,鹽水區頭港里202號,,,,門牌比對失敗或格式有誤,,,
19,臺南市,,,白河區玉豐里85號,,,,門牌比對失敗或格式有誤,,,
20,臺南市,,,後壁區墨林里282號,,,,門牌比對失敗或格式有誤,,,
21,臺南市,,,後壁區仕安里81號,,,,門牌比對失敗或格式有誤,,,
22,臺南市,,,後壁區嘉田里48之5號,,,,門牌比對失敗或格式有誤,,,
23,臺南市,,,後壁區烏樹里145號,,,,門牌比對失敗或格式有誤,,,
24,彰化縣,,,田中鎮復興里山腳路四段188巷109號,,,,門牌比對失敗或格式有誤,,,
25,雲林縣,元長鄉,瓦�虴�,南昌路6號,A0917-07,A0917-07-004,A0917-0217-00,AL0-F1-0-2018M12,120.3587556,23.6396944,EPSG:4326
26,雲林縣,元長鄉,下寮村,東興路63號,A0917-09,A0917-09-007,A0917-0327-00,AL0-N3-4-2018M12,120.3340686,23.61912437,EPSG:4326
27,雲林縣,二崙鄉,崙東村,仁和路4號,A0911-10,A0911-10-002,A0911-0213-00,AL0-N3-2-2018M12,120.4176486,23.77341762,EPSG:4326
28,雲林縣,,,大埤鄉嘉興村嘉興路65號,,,,門牌比對失敗或格式有誤,,,
29,雲林縣,口湖鄉,梧南村,復興路53號,A0919-11,A0919-11-005,A0919-0257-00,AL0-F1-0-2018M12,120.1893626,23.54629094,EPSG:4326
30,雲林縣,,,西螺鎮新豐里新社路257號,,,,門牌比對失敗或格式有誤,,,
31,雲林縣,,,崙背鄉豐榮村豐榮路21號,,,,門牌比對失敗或格式有誤,,,
32,雲林縣,口湖鄉,梧南村,東興路1號,A0919-11,A0919-11-006,A0919-0259-00,AL0-F1-0-2018M12,120.1906419,23.54488044,EPSG:4326
33,雲林縣,,,水林鄉瓊埔村148號,,,,門牌比對失敗或格式有誤,,,
34,嘉義縣,,,朴子市雙溪里30號,,,,門牌比對失敗或格式有誤,,,
35,嘉義縣,,,東石鄉下楫村147號,,,,門牌比對失敗或格式有誤,,,
36,嘉義縣,,,中埔鄉石弄村22號,,,,門牌比對失敗或格式有誤,,,
37,屏東縣,內埔鄉,東勢村,光復路24號,A1313-12,A1313-12-002,A1313-0245-00,AL0-F1-0-2018M12,120.5849634,22.64643849,EPSG:4326
38,屏東縣,新埤鄉,萬隆村,萬安路1號,A1315-01,A1315-01-005,A1315-0072-00,AL0-F1-0-2018M12,120.5724767,22.50048519,EPSG:4326
39,屏東縣,萬巒鄉,新厝村,新樂路1號,A1312-08,A1312-08-011,A1312-0269-00,AL0-F1-0-2018M12,120.609731,22.56866783,EPSG:4326
40,臺東縣,,,綠島鄉公館村98號,,,,門牌比對失敗或格式有誤,,,
41,臺東縣,關山鎮,電光里,中興路93號,A1403-05,A1403-05-001,A1403-0213-00,CL0-N3-1-2018M12,121.1729076,23.00710396,EPSG:4326
42,臺東縣,,,達仁鄉土?村10號,,,,門牌比對失敗或格式有誤,,,
43,臺東縣,,,達仁鄉台?村十鄰59號之1,,,,門牌比對失敗或格式有誤,,,
44,臺東縣,,,蘭嶼鄉椰油村忠孝街1號,,,,門牌比對失敗或格式有誤,,,
45,花蓮縣,,,玉里鎮中禹里225號,,,,門牌比對失敗或格式有誤,,,
46,花蓮縣,玉里鎮,國武里,中正路72號,A1503-08,A1503-08-009,A1503-0298-00,AL0-F1-0-2018M12,121.3159514,23.33328952,EPSG:4326
47,澎湖縣,,,馬公市時裡里114號,,,,門牌比對失敗或格式有誤,,,
48,金門縣,,,金沙鎮碧山村81號,,,,門牌比對失敗或格式有誤,,,
